ResponseId,duration,CRT,RME,age,education,race,gender,income,political_fiscal,political_social,political_party,marital_status
Response_341,1289,3,28,42,4-year college degree,White,Male,"$70,000 to $79,999",Moderate,Somewhat Liberal,Democrat,Single Never Married
Response_342,8805,4,16,42,4-year college degree,White,Male,"$40,000 to $49,999",Somewhat Conservative,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_343,1377,0,27,67,Some college or vocational training,White,Male,"$10,000 to $19,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_344,2478,0,20,38,Some college or vocational training,Black,Male,"$70,000 to $79,999",Moderate,Moderate,Independent,Single Never Married
Response_345,1039,0,32,38,4-year college degree,White,Female,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_346,3039,6,33,47,4-year college degree,White,Female,"$20,000 to $29,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_347,1846,4,27,36,Post-college degree,Indigenous,Male,"$100,000 to $149,999",Strongly Conservative,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_348,1794,2,21,36,Post-college degree,White,Male,"$40,000 to $49,999",Strongly Liberal,Strongly Liberal,Independent,Single Never Married
Response_349,9781,1,16,46,Post-college degree,White,Male,"$70,000 to $79,999",Somewhat Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_350,2225,2,25,74,4-year college degree,White,Female,"$20,000 to $29,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_351,1361,0,25,62,4-year college degree,White,Female,"$50,000 to $59,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_352,2448,4,28,67,4-year college degree,Asian,Male,"$90,000 to $99,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_353,1094,3,27,58,4-year college degree,White,Female,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_354,979,2,29,37,Some college or vocational training,White,Female,"$40,000 to $49,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_355,2187,2,24,71,Post-college degree,White,Male,"$50,000 to $59,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_356,1680,4,32,53,2-year college degree,White,Female,"$60,000 to $69,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_357,1913,1,23,30,Some college or vocational training,Black,Female,"$70,000 to $79,999",Moderate,Moderate,Independent,Single Never Married
Response_358,1469,5,27,51,Some college or vocational training,White,Female,"$30,000 to $39,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_359,2427,5,28,33,4-year college degree,White,Female,"$10,000 to $19,999",Strongly Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_360,2207,5,30,36,Some college or vocational training,White,Male,"Less than $10,000",Somewhat Liberal,Somewhat Liberal,Independent,Single Never Married
Response_361,3788,1,29,66,Some college or vocational training,White,Female,"$20,000 to $29,999",Somewhat Liberal,Strongly Liberal,Democrat,Divorced
Response_362,980,0,16,37,4-year college degree,White,Male,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_363,2290,4,30,30,Post-college degree,White,Female,"$60,000 to $69,999",Somewhat Conservative,Somewhat Liberal,Independent,Single Never Married
Response_364,1048,4,32,50,4-year college degree,Asian,Female,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_365,1644,1,29,58,Post-college degree,White,Female,"$60,000 to $69,999",Moderate,Strongly Liberal,Democrat,Divorced
Response_366,1100,5,30,34,4-year college degree,White,Female,"$90,000 to $99,999",Strongly Conservative,Somewhat Liberal,Republican,Married or Domestic Partnership
Response_367,1836,1,25,29,4-year college degree,White,Male,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_368,2160,1,21,41,Some college or vocational training,Black,Male,"$80,000 to $89,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_369,2401,3,24,58,Post-college degree,White,Male,"$100,000 to $149,999",Moderate,Moderate,Independent,Married or Domestic Partnership
Response_370,6184,2,22,38,Some college or vocational training,White,Male,"$70,000 to $79,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_371,3172,0,24,68,High school diploma,White,Female,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_372,4171,4,30,46,4-year college degree,White,Female,"$100,000 to $149,999",Moderate,Moderate,Independent,Divorced
Response_373,1810,0,34,38,4-year college degree,Asian,Female,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_374,2045,6,31,48,4-year college degree,White,Male,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_375,3771,6,30,31,Some college or vocational training,Asian,Female,"$90,000 to $99,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_376,1309,0,11,35,High school diploma,White,Male,"Less than $10,000",Strongly Conservative,Strongly Conservative,Democrat,Married or Domestic Partnership
Response_377,1680,2,29,53,4-year college degree,White,Female,"$10,000 to $19,999",Somewhat Conservative,Somewhat Conservative,Republican,Divorced
Response_378,1273,5,29,30,Post-college degree,White,Female,"$90,000 to $99,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_379,1022,0,20,37,4-year college degree,White,Female,"$50,000 to $59,999",Somewhat Conservative,Somewhat Conservative,Republican,Divorced
Response_380,2080,0,17,34,2-year college degree,White,Male,"$50,000 to $59,999",Moderate,Moderate,Republican,Married or Domestic Partnership
Response_381,3289,3,30,79,4-year college degree,White,Male,"Less than $10,000",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_382,3795,6,23,61,High school diploma,White,Female,"$40,000 to $49,999",Somewhat Conservative,Moderate,Independent,Married or Domestic Partnership
Response_383,2538,2,29,54,4-year college degree,White,Female,"$150,000 or more",Strongly Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_384,1984,5,33,38,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Conservative,Somewhat Liberal,Democrat,Single Never Married
Response_385,2067,0,26,61,2-year college degree,White,Female,"$50,000 to $59,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_386,1643,1,28,61,High school diploma,White,Female,"$40,000 to $49,999",Strongly Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_387,1982,4,30,61,Some college or vocational training,White,Female,"$40,000 to $49,999",Strongly Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_388,1977,1,32,33,4-year college degree,White,Female,"$80,000 to $89,999",Somewhat Conservative,Moderate,Republican,Single Never Married
Response_389,2020,1,20,44,Some college or vocational training,White,Female,"$70,000 to $79,999",Somewhat Conservative,Somewhat Conservative,Republican,Single Never Married
Response_390,1379,3,28,49,4-year college degree,White,Male,"$100,000 to $149,999",Strongly Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_391,2542,2,31,40,Post-college degree,White,Male,"$80,000 to $89,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_392,4575,5,29,58,2-year college degree,White,Female,"$10,000 to $19,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_393,2434,6,25,43,4-year college degree,White,Female,"$40,000 to $49,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_394,2130,6,23,37,High school diploma,White,Female,"$20,000 to $29,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_395,1581,5,28,28,4-year college degree,White,Female,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Independent,Single Never Married
Response_396,2064,1,31,54,4-year college degree,Other,Female,"$60,000 to $69,999",Somewhat Conservative,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_397,1974,1,28,31,2-year college degree,White,Female,"$90,000 to $99,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_398,2049,3,35,34,Some college or vocational training,Black,Male,"$50,000 to $59,999",Strongly Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_399,2836,0,18,46,4-year college degree,Asian,Male,"Less than $10,000",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_400,1379,6,30,39,Post-college degree,White,Female,"$100,000 to $149,999",Somewhat Conservative,Somewhat Liberal,Democrat,Single Never Married
Response_401,2261,6,30,66,Doctoral degree,White,Female,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_402,2828,5,30,46,Some college or vocational training,White,Female,"$40,000 to $49,999",Somewhat Liberal,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_403,2494,2,24,31,2-year college degree,White,Female,"$50,000 to $59,999",Moderate,Moderate,Independent,Married or Domestic Partnership
Response_404,1449,1,24,38,4-year college degree,White,Female,"$30,000 to $39,999",Moderate,Moderate,Democrat,Divorced
Response_405,1902,1,30,66,Post-college degree,White,Female,"$70,000 to $79,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_406,1549,0,28,35,4-year college degree,White,Female,"$40,000 to $49,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_407,3984,2,33,73,Some college or vocational training,White,Male,"$10,000 to $19,999",Strongly Conservative,Strongly Conservative,Republican,Divorced
Response_408,1225,0,25,38,4-year college degree,Other,Female,"$60,000 to $69,999",Somewhat Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_409,6125,1,26,34,Post-college degree,White,Female,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_410,1382,6,26,41,4-year college degree,White,Female,"$70,000 to $79,999",Somewhat Conservative,Somewhat Liberal,Republican,Married or Domestic Partnership
Response_411,2823,5,25,58,"Professional degree (JD, MD)",White,Male,"$70,000 to $79,999",Somewhat Liberal,Strongly Liberal,Democrat,Single Never Married
Response_412,2669,6,29,55,4-year college degree,Indigenous,Female,"$30,000 to $39,999",Moderate,Somewhat Liberal,Democrat,Divorced
Response_413,1579,0,31,71,2-year college degree,White,Female,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_414,3062,1,28,68,Some college or vocational training,White,Female,"$10,000 to $19,999",Somewhat Liberal,Somewhat Liberal,Democrat,Divorced
Response_415,1925,6,31,72,4-year college degree,White,Male,"$40,000 to $49,999",Moderate,Somewhat Liberal,Independent,Divorced
Response_416,1817,2,33,58,4-year college degree,White,Female,"$90,000 to $99,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_417,1405,6,31,34,"Professional degree (JD, MD)",White,Male,"$70,000 to $79,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_418,2151,6,32,43,4-year college degree,White,Male,"$150,000 or more",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_419,1892,3,31,27,4-year college degree,Asian,Female,"$50,000 to $59,999",Somewhat Conservative,Somewhat Liberal,Republican,Single Never Married
Response_420,2826,0,27,34,High school diploma,White,Female,"$20,000 to $29,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_421,1219,6,23,37,High school diploma,White,Female,"$20,000 to $29,999",Somewhat Liberal,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_422,3681,0,25,46,Some college or vocational training,Black,Female,"Less than $10,000",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_423,4890,2,27,37,4-year college degree,White,Female,"$40,000 to $49,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_424,1988,6,20,63,Doctoral degree,White,Male,"$90,000 to $99,999",Somewhat Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_425,1527,3,27,70,4-year college degree,Black,Female,"$150,000 or more",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_426,2160,2,24,55,High school diploma,White,Female,"$20,000 to $29,999",Strongly Liberal,Strongly Liberal,Independent,Divorced
Response_427,1793,5,29,33,"Professional degree (JD, MD)",White,Male,"$60,000 to $69,999",Strongly Liberal,Strongly Liberal,Independent,Single Never Married
Response_428,6744,6,30,39,Post-college degree,White,Male,"$100,000 to $149,999",Moderate,Moderate,Independent,Married or Domestic Partnership
Response_429,1738,5,32,37,Some college or vocational training,Indigenous,Male,"$30,000 to $39,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_430,1436,5,29,26,High school diploma,White,Male,"$60,000 to $69,999",Strongly Liberal,Strongly Liberal,Independent,Single Never Married
Response_431,1447,5,30,30,4-year college degree,White,Male,"$80,000 to $89,999",Strongly Conservative,Moderate,Independent,Married or Domestic Partnership
Response_432,1699,6,32,39,2-year college degree,White,Female,"$10,000 to $19,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_433,1431,1,25,48,4-year college degree,Black,Female,"$20,000 to $29,999",Somewhat Conservative,Somewhat Conservative,Republican,Single Never Married
Response_434,3027,1,29,29,4-year college degree,Other,Female,"$90,000 to $99,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_435,2173,0,15,27,4-year college degree,White,Male,"$70,000 to $79,999",Moderate,Moderate,Democrat,Married or Domestic Partnership
Response_436,2628,2,28,40,2-year college degree,White,Male,"$90,000 to $99,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_437,2173,0,13,42,4-year college degree,White,Male,"$10,000 to $19,999",Strongly Conservative,Somewhat Conservative,Independent,Married or Domestic Partnership
Response_438,2950,5,30,61,Post-college degree,White,Female,"$40,000 to $49,999",Strongly Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_439,4109,6,33,67,2-year college degree,White,Female,"$60,000 to $69,999",Moderate,Somewhat Liberal,Democrat,Divorced
Response_440,1572,0,22,56,4-year college degree,White,Female,"$100,000 to $149,999",Strongly Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_441,1950,4,24,47,4-year college degree,White,Male,"$70,000 to $79,999",Somewhat Conservative,Somewhat Conservative,Republican,Single Never Married
Response_442,918,5,27,31,Doctoral degree,Asian,Female,"$90,000 to $99,999",Moderate,Somewhat Liberal,Democrat,Single Never Married
Response_443,1151,6,34,31,4-year college degree,White,Male,"$50,000 to $59,999",Somewhat Conservative,Somewhat Liberal,Democrat,Single Never Married
Response_444,1622,4,30,38,Post-college degree,White,Female,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_445,1799,5,21,66,Post-college degree,White,Female,"$20,000 to $29,999",Somewhat Liberal,Somewhat Liberal,Independent,Single Never Married
Response_446,2380,5,23,40,High school diploma,White,Female,"$60,000 to $69,999",Strongly Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_447,1738,5,24,46,4-year college degree,White,Male,"$50,000 to $59,999",Strongly Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_448,1768,6,30,34,4-year college degree,White,Female,"$150,000 or more",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_449,2592,1,27,33,High school diploma,White,Male,"$50,000 to $59,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_450,1503,0,17,28,Post-college degree,White,Male,"$20,000 to $29,999",Strongly Conservative,Strongly Conservative,Democrat,Married or Domestic Partnership
Response_451,2305,5,33,51,2-year college degree,White,Male,"$40,000 to $49,999",Moderate,Somewhat Liberal,Independent,Single Never Married
Response_452,3547,3,23,41,2-year college degree,Other,Female,"$20,000 to $29,999",Strongly Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_453,2466,6,27,45,Post-college degree,White,Male,"$90,000 to $99,999",Somewhat Conservative,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_454,3068,5,30,64,4-year college degree,White,Female,"$70,000 to $79,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_455,4793,0,12,43,4-year college degree,White,Female,"$50,000 to $59,999",Strongly Conservative,Strongly Conservative,Democrat,Married or Domestic Partnership
Response_456,6190,0,26,44,4-year college degree,White,Male,"$30,000 to $39,999",Somewhat Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_457,1888,1,12,51,4-year college degree,White,Male,"$70,000 to $79,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_458,4096,1,15,32,4-year college degree,Indigenous,Female,"$70,000 to $79,999",Somewhat Conservative,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_459,963,0,9,32,4-year college degree,Black,Male,"$40,000 to $49,999",Strongly Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_460,968,5,25,31,Post-college degree,White,Male,"$150,000 or more",Somewhat Conservative,Somewhat Liberal,Republican,Single Never Married
Response_461,1399,1,22,58,Post-college degree,White,Male,"$20,000 to $29,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_462,1162,0,16,42,Post-college degree,White,Male,"$50,000 to $59,999",Somewhat Conservative,Moderate,Democrat,Married or Domestic Partnership
Response_463,4173,1,16,32,4-year college degree,Indigenous,Male,"$70,000 to $79,999",Somewhat Conservative,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_464,2331,2,16,36,Doctoral degree,White,Female,"$90,000 to $99,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_465,1328,0,13,43,4-year college degree,White,Male,"$40,000 to $49,999",Strongly Conservative,Strongly Conservative,Democrat,Married or Domestic Partnership
Response_466,2994,5,29,47,4-year college degree,Asian,Female,"$40,000 to $49,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_467,3601,6,29,28,"Professional degree (JD, MD)",White,Female,"$70,000 to $79,999",Strongly Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_468,2130,0,13,36,4-year college degree,White,Male,"$20,000 to $29,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_469,10505,0,19,41,4-year college degree,White,Male,"$10,000 to $19,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_470,8909,0,11,32,4-year college degree,White,Male,"$90,000 to $99,999",Somewhat Conservative,Moderate,Democrat,Married or Domestic Partnership
Response_471,3520,1,24,52,High school diploma,Black,Female,"$60,000 to $69,999",Moderate,Moderate,Democrat,Married or Domestic Partnership
Response_472,6018,3,21,31,Post-college degree,White,Male,"$30,000 to $39,999",Somewhat Conservative,Moderate,Republican,Married or Domestic Partnership
Response_473,960,0,14,39,4-year college degree,Black,Male,"$50,000 to $59,999",Somewhat Conservative,Moderate,Democrat,Married or Domestic Partnership
Response_474,1979,0,16,34,Post-college degree,White,Male,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_475,2432,5,29,67,4-year college degree,White,Female,"$90,000 to $99,999",Somewhat Conservative,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_476,2845,2,32,56,2-year college degree,White,Female,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_477,1630,6,30,74,4-year college degree,White,Female,"$10,000 to $19,999",Strongly Liberal,Strongly Liberal,Democrat,Divorced
Response_478,2404,6,29,55,Post-college degree,White,Male,"$80,000 to $89,999",Strongly Conservative,Strongly Conservative,Republican,Single Never Married
Response_479,5139,2,23,40,Post-college degree,White,Female,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_480,1296,0,19,33,High school diploma,Black,Female,"$10,000 to $19,999",Moderate,Moderate,Republican,Single Never Married
Response_481,2116,0,12,40,Post-college degree,White,Female,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Democrat,Married or Domestic Partnership
Response_482,2777,3,31,52,Post-college degree,White,Male,"$150,000 or more",Strongly Conservative,Strongly Conservative,Independent,Divorced
Response_483,1837,5,32,51,4-year college degree,Black,Male,"$80,000 to $89,999",Strongly Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_484,1664,2,30,29,Some college or vocational training,Asian,Female,"$20,000 to $29,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_485,8750,1,18,31,4-year college degree,White,Female,"$80,000 to $89,999",Moderate,Somewhat Conservative,Democrat,Single Never Married
Response_486,1721,4,27,42,Post-college degree,White,Male,"$100,000 to $149,999",Somewhat Conservative,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_487,3674,5,31,59,4-year college degree,Asian,Male,"$50,000 to $59,999",Somewhat Conservative,Somewhat Conservative,Republican,Divorced
Response_488,2689,3,24,34,Post-college degree,Asian,Female,"$30,000 to $39,999",Somewhat Conservative,Somewhat Conservative,Republican,Single Never Married
Response_489,1900,6,29,24,2-year college degree,Other,Male,"$100,000 to $149,999",Somewhat Conservative,Somewhat Liberal,Independent,Single Never Married
Response_490,1857,4,25,24,Some college or vocational training,White,Male,"$150,000 or more",Somewhat Conservative,Somewhat Conservative,Independent,Single Never Married
Response_491,2626,3,15,34,Post-college degree,White,Female,"$60,000 to $69,999",Strongly Conservative,Strongly Conservative,Republican,Single Never Married
Response_492,3152,2,25,31,2-year college degree,Black,Female,"Less than $10,000",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_493,1685,2,21,56,High school diploma,White,Female,"$30,000 to $39,999",Strongly Conservative,Strongly Conservative,Republican,Single Never Married
Response_494,1827,6,28,56,Post-college degree,White,Male,"$150,000 or more",Somewhat Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_495,1787,1,24,38,Some college or vocational training,White,Male,"Less than $10,000",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_496,1774,0,10,34,Post-college degree,White,Female,"$90,000 to $99,999",Moderate,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_497,5043,0,16,38,Doctoral degree,White,Male,"$100,000 to $149,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_498,1812,1,28,25,Some college or vocational training,White,Female,"$40,000 to $49,999",Moderate,Somewhat Liberal,Democrat,Single Never Married
Response_499,2512,5,26,57,2-year college degree,White,Male,"Less than $10,000",Somewhat Liberal,Somewhat Liberal,Democrat,Divorced
Response_500,1842,6,22,39,"Professional degree (JD, MD)",White,Female,"$100,000 to $149,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_501,1966,4,20,34,Some college or vocational training,White,Female,"$60,000 to $69,999",Somewhat Liberal,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_502,1337,6,27,27,4-year college degree,Asian,Female,"$100,000 to $149,999",Strongly Liberal,Strongly Liberal,Democrat,Single Never Married
Response_503,4360,1,29,24,4-year college degree,White,Male,"$70,000 to $79,999",Moderate,Moderate,Independent,Single Never Married
Response_504,9738,0,16,45,4-year college degree,White,Male,"Less than $10,000",Strongly Conservative,Strongly Conservative,Democrat,Married or Domestic Partnership
Response_505,4199,3,27,29,"Professional degree (JD, MD)",Black,Female,"$70,000 to $79,999",Moderate,Somewhat Liberal,Democrat,Single Never Married
Response_506,1185,6,33,41,4-year college degree,White,Female,"$90,000 to $99,999",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_507,1305,1,29,41,4-year college degree,White,Female,"$80,000 to $89,999",Somewhat Conservative,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_508,1282,3,30,39,4-year college degree,White,Male,"$100,000 to $149,999",Strongly Conservative,Somewhat Liberal,Republican,Married or Domestic Partnership
Response_509,1362,6,34,43,Post-college degree,White,Female,"$20,000 to $29,999",Moderate,Strongly Liberal,Independent,Single Never Married
Response_510,1401,5,26,37,Less than high school diploma,White,Male,"$30,000 to $39,999",Somewhat Conservative,Somewhat Conservative,Independent,Single Never Married
Response_511,1579,2,29,42,4-year college degree,White,Male,"$60,000 to $69,999",Somewhat Conservative,Moderate,Republican,Married or Domestic Partnership
Response_512,1282,6,23,45,4-year college degree,White,Female,"$60,000 to $69,999",Strongly Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_513,1632,5,28,54,4-year college degree,White,Male,"$150,000 or more",Strongly Conservative,Strongly Conservative,Republican,Married or Domestic Partnership
Response_514,1656,6,30,42,Post-college degree,White,Male,"$80,000 to $89,999",Strongly Conservative,Moderate,Independent,Married or Domestic Partnership
Response_515,1784,2,31,50,4-year college degree,White,Female,"$40,000 to $49,999",Somewhat Conservative,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_516,1869,0,31,63,High school diploma,White,Male,"$10,000 to $19,999",Somewhat Liberal,Somewhat Liberal,Independent,Divorced
Response_517,1577,6,30,64,4-year college degree,Other,Male,"$20,000 to $29,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_518,1884,3,24,41,2-year college degree,White,Female,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_519,1631,1,33,47,Doctoral degree,White,Female,"$90,000 to $99,999",Strongly Liberal,Strongly Liberal,Democrat,Divorced
Response_520,1588,6,32,48,4-year college degree,White,Female,"$150,000 or more",Somewhat Conservative,Somewhat Liberal,Independent,Married or Domestic Partnership
Response_521,1197,0,30,33,Less than high school diploma,Other,Female,"$70,000 to $79,999",Somewhat Conservative,Somewhat Conservative,Independent,Single Never Married
Response_522,1726,3,30,52,4-year college degree,White,Male,"$150,000 or more",Somewhat Conservative,Somewhat Conservative,Republican,Married or Domestic Partnership
Response_523,1743,2,32,58,Post-college degree,White,Female,"$150,000 or more",Moderate,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_524,1808,6,32,44,2-year college degree,White,Male,"Less than $10,000",Moderate,Somewhat Liberal,Independent,Single Never Married
Response_525,2304,1,23,67,Some college or vocational training,White,Male,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_526,1875,5,32,36,4-year college degree,Asian,Male,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_527,1412,6,31,65,Post-college degree,White,Male,"$50,000 to $59,999",Somewhat Conservative,Somewhat Liberal,Democrat,Divorced
Response_528,1677,4,23,69,4-year college degree,White,Female,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_529,2434,0,29,58,2-year college degree,White,Female,"$10,000 to $19,999",Strongly Liberal,Strongly Liberal,Democrat,Divorced
Response_530,2494,2,28,33,Some college or vocational training,Asian,Male,"$20,000 to $29,999",Moderate,Moderate,Independent,Single Never Married
Response_531,1952,2,25,38,Some college or vocational training,White,Female,"$20,000 to $29,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_532,1232,2,29,51,4-year college degree,White,Male,"$30,000 to $39,999",Somewhat Liberal,Somewhat Conservative,Democrat,Single Never Married
Response_533,2320,6,25,53,4-year college degree,White,Male,"$30,000 to $39,999",Somewhat Liberal,Somewhat Liberal,Democrat,Single Never Married
Response_534,2716,2,22,39,4-year college degree,Black,Male,"$80,000 to $89,999",Strongly Liberal,Strongly Liberal,Democrat,Married or Domestic Partnership
Response_535,2754,3,22,32,Post-college degree,Black,Male,"$50,000 to $59,999",Somewhat Liberal,Somewhat Liberal,Democrat,Married or Domestic Partnership
Response_536,2631,3,30,45,4-year college degree,White,Male,"$100,000 to $149,999",Somewhat Liberal,Somewhat Conservative,Independent,Married or Domestic Partnership
